item_id,cat_id,dept_id
FOODS_3_567,FOODS,FOODS_3
FOODS_3_584,FOODS,FOODS_3
FOODS_3_608,FOODS,FOODS_3
FOODS_3_610,FOODS,FOODS_3
FOODS_3_646,FOODS,FOODS_3
FOODS_3_660,FOODS,FOODS_3
FOODS_3_668,FOODS,FOODS_3
FOODS_3_670,FOODS,FOODS_3
FOODS_3_680,FOODS,FOODS_3
FOODS_3_703,FOODS,FOODS_3
FOODS_3_715,FOODS,FOODS_3
FOODS_3_724,FOODS,FOODS_3
FOODS_3_730,FOODS,FOODS_3
FOODS_3_764,FOODS,FOODS_3
FOODS_3_783,FOODS,FOODS_3
FOODS_3_790,FOODS,FOODS_3
HOBBIES_1_007,HOBBIES,HOBBIES_1
HOBBIES_1_011,HOBBIES,HOBBIES_1
HOBBIES_1_073,HOBBIES,HOBBIES_1
HOBBIES_1_079,HOBBIES,HOBBIES_1
HOBBIES_1_085,HOBBIES,HOBBIES_1
HOBBIES_1_093,HOBBIES,HOBBIES_1
HOBBIES_1_114,HOBBIES,HOBBIES_1
HOBBIES_1_136,HOBBIES,HOBBIES_1
HOBBIES_1_150,HOBBIES,HOBBIES_1
HOBBIES_1_153,HOBBIES,HOBBIES_1
HOBBIES_1_158,HOBBIES,HOBBIES_1
HOBBIES_1_170,HOBBIES,HOBBIES_1
HOBBIES_1_181,HOBBIES,HOBBIES_1
HOBBIES_1_202,HOBBIES,HOBBIES_1
HOBBIES_1_216,HOBBIES,HOBBIES_1
HOBBIES_1_217,HOBBIES,HOBBIES_1
HOBBIES_1_230,HOBBIES,HOBBIES_1
HOBBIES_1_242,HOBBIES,HOBBIES_1
HOBBIES_1_255,HOBBIES,HOBBIES_1
HOBBIES_1_257,HOBBIES,HOBBIES_1
HOBBIES_1_258,HOBBIES,HOBBIES_1
HOBBIES_1_263,HOBBIES,HOBBIES_1
HOBBIES_1_288,HOBBIES,HOBBIES_1
HOBBIES_1_327,HOBBIES,HOBBIES_1
HOBBIES_1_399,HOBBIES,HOBBIES_1
HOBBIES_2_028,HOBBIES,HOBBIES_2
HOBBIES_2_034,HOBBIES,HOBBIES_2
HOBBIES_2_071,HOBBIES,HOBBIES_2
HOBBIES_2_077,HOBBIES,HOBBIES_2
HOBBIES_2_081,HOBBIES,HOBBIES_2
HOBBIES_2_108,HOBBIES,HOBBIES_2
HOBBIES_2_109,HOBBIES,HOBBIES_2
HOBBIES_2_117,HOBBIES,HOBBIES_2
HOBBIES_2_121,HOBBIES,HOBBIES_2
HOBBIES_2_123,HOBBIES,HOBBIES_2
HOBBIES_2_136,HOBBIES,HOBBIES_2
HOBBIES_2_139,HOBBIES,HOBBIES_2
HOUSEHOLD_1_011,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_033,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_052,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_062,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_073,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_079,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_090,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_105,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_112,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_146,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_163,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_189,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_197,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_203,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_204,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_250,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_297,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_313,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_316,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_328,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_351,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_360,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_367,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_373,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_385,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_398,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_434,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_458,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_461,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_467,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_500,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_1_524,HOUSEHOLD,HOUSEHOLD_1
HOUSEHOLD_2_016,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_018,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_029,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_053,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_064,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_082,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_083,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_119,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_129,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_136,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_147,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_180,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_210,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_211,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_216,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_235,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_253,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_259,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_294,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_313,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_324,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_339,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_344,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_373,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_377,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_402,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_403,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_421,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_435,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_448,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_450,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_460,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_462,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_473,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_490,HOUSEHOLD,HOUSEHOLD_2
HOUSEHOLD_2_511,HOUSEHOLD,HOUSEHOLD_2
